/usr/local/lib/python3.11/dist-packages/torch/_subclasses/functional_tensor.py:368: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /__w/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
(23, 100, 5.77, 1.728, 7)
(45, 200, 5.897, 1.608, 38)
(67, 300, 5.956, 1.608, 42)
(90, 400, 6.811, 1.607, 74)
(113, 500, 5.449, 1.421, 109)
(136, 600, 4.029, 1.241, 91)
(164, 700, 4.764, 1.155, 73)
(187, 800, 4.664, 1.188, 72)
(210, 900, 4.288, 1.189, 78)
(238, 1000, 5.007, 1.195, 71)
(269, 1100, 5.222, 1.148, 89)
(298, 1200, 4.682, 1.1, 93)
(329, 1300, 4.369, 1.085, 102)
(367, 1400, 4.756, 1.032, 105)
(394, 1500, 3.805, 0.972, 96)
{"stride": 160, "frames_per_s": 50.0, "steps": 1585, "train_s": 421, "mel": 0.868328869342804, "mel_silence": 1.8052974939346313, "snr": -0.005453880410641432, "used": 237, "perplexity": 82.07421578347555, "entropy_bits": 6.358857154846191, "rtf": 0.031833089888095856, "params": 654085, "log": [[23, 100, 5.77, 1.728, 7], [45, 200, 5.897, 1.608, 38], [67, 300, 5.956, 1.608, 42], [90, 400, 6.811, 1.607, 74], [113, 500, 5.449, 1.421, 109], [136, 600, 4.029, 1.241, 91], [164, 700, 4.764, 1.155, 73], [187, 800, 4.664, 1.188, 72], [210, 900, 4.288, 1.189, 78], [238, 1000, 5.007, 1.195, 71], [269, 1100, 5.222, 1.148, 89], [298, 1200, 4.682, 1.1, 93], [329, 1300, 4.369, 1.085, 102], [367, 1400, 4.756, 1.032, 105], [394, 1500, 3.805, 0.972, 96]]}
